English Name,Amount,English Unit,,Calories,Fats,Carbs,Protein,Arabic Name,Arabic Unit,Vit A (µg),Vit C (mg),Vit D (µg),Vit K (µg),Folate (µg),Vit B12 (µg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Selenium (µg),,FoodGroup,SubGroup
Butter,100,grams,,717,81.11,0.06,0.85,   الزبدة,جرام,684,-,1.5,7,3,0.17,24,0.02,2,24,0.09,1,,Fats & Oils,Healthy Fat
Becel light butter,100,grams,,336,38,0.5,0,   الزبدة لايت,جرام,800,-,7.5,100,-,-,-,-,-,-,-,-,,Fats & Oils,Healthy Fat
Lard,100,grams,,900,0,0,0,   اللية,جرام,-,-,2.5,-,-,-,-,-,-,-,-,-,,Fats & Oils,Healthy Fat
Cooking Cream,100,grams,,345,37,3,2,   كريمة طبخ,جرام,350,0.6,1.2,3.4,3,0.2,68,0.05,7,93,0.2,1,,Fats & Oils,Healthy Fat
Pomegranate Molasses,100,grams,,180,0,45,0,   دبس الرمان,جرام,-,10,-,16,38,-,10,0.3,12,236,0.35,0.5,,Sauces & Condiments,High-Carb
Olives,100,grams,,115,11,6,0.8,   الزيتون,جرام,20,0.9,-,1.4,-,-,88,3.3,4,8,0.22,0.9,,Fats & Oils,Healthy Fat
Peanuts,100,grams,,599,52.5,15.26,28.03,   فول سودانى,جرام,-,-,-,-,145,-,62,2.3,184,634,3.3,7.2,,Fats & Oils,Healthy Fat
Mixed nuts,100,grams,,615,56.2,17,15.5,   مكسرات مشكلة,جرام,10,1,-,5,50,-,100,3,200,600,4,10,,Fats & Oils,Healthy Fat
Castani Kri Kri,100,grams,,500,30,43.33333,16.6666,   كاستانيا كري كري,جرام,-,-,-,-,140,-,60,2,180,600,3,7,,Packaged & Mixed Foods,Candy-like Snack
Pine Nuts,100,grams,,673,68,13,14,   مكسرات الصنوبر,جرام,1,0.8,-,53.9,34,-,16,5.5,251,597,6.4,0.7,,Fats & Oils,Healthy Fat
flax seeds,100,grams,,534,42,29,18,   حبوب الكتان,جرام,-,0.6,-,4.3,87,-,255,5.7,392,813,4.3,25.4,,Fats & Oils,Healthy Fat
chia seed,100,grams,,460,31,44,16,   حبوب الشيا,جرام,3,1.6,-,-,49,-,631,7.7,335,407,4.6,55.2,,Fats & Oils,Healthy Fat
Pumpkin Seeds,100,grams,,446,19,54,19,   اللب,جرام,3,0.3,-,-,58,-,43,3.3,262,919,10.3,5.6,,Fats & Oils,Healthy Fat
Sunflower seeds,100,grams,,584,51,20,21,   حب الشمس,جرام,3,1.4,-,-,227,-,78,5.2,325,645,5,53,,Fats & Oils,Healthy Fat
Pistachio,100,grams,,557,44.44,27.97,20.61,   الفستق,جرام,26,5.6,-,13.2,51,-,105,3.9,121,1025,2.2,7,,Fats & Oils,Healthy Fat
Cashew,100,grams,,553,43.85,30.19,18.22,   الكاجو,جرام,-,-,-,34.1,25,-,37,6.7,292,660,5.8,19.9,,Fats & Oils,Healthy Fat
Walnuts,100,grams,,654,65.21,13.71,15.23,   عين جمل,جرام,1,1.3,-,2.7,98,-,98,2.9,158,441,3.1,4.9,,Fats & Oils,Healthy Fat
Coconut,100,grams,,667,67,27,7,   جوز الهند,جرام,-,3.3,-,0.2,26,-,14,2.4,32,356,1.1,10.1,,Fats & Oils,Healthy Fat
Almonds,100,grams,,578,50.64,19.74,21.26,   اللوز,جرام,1,-,-,-,44,-,269,3.7,270,733,3.1,4.1,,Fats & Oils,Healthy Fat
Sesame Seeds,100,grams,,572,50,23,18,   السمسم,جرام,1,-,-,-,97,-,975,14.5,351,468,7.8,34.4,,Fats & Oils,Healthy Fat
Peanut Butter,100,grams,,588,50.39,19.56,25.09,   زبدة فول سودانى,جرام,-,-,-,0.1,71,-,48,1.9,169,564,2.8,5.3,,Fats & Oils,Healthy Fat
Skippy roasted honey peanut butter,100,grams,,625,50,18.75,21.87,   زبدة فول سوداني سكيبي محمصة بالعسل,جرام,-,-,-,0.1,70,-,45,1.8,165,550,2.7,5,,Packaged & Mixed Foods,Candy-like Snack
Skippy reduced fat peanut butter,100,grams,,500,33.33333,41.66666,19.44444,   زبدة فول سوداني سكيبي منخفضة الدهن,جرام,-,-,-,0.1,65,-,40,1.5,150,500,2.5,4,,Packaged & Mixed Foods,Balanced Protein-Carb
Peanut butter and co dark chocolate dreams,100,grams,,531.25,40.625,37.5,18.75,   زبدة فول سوداني دارك شوكليت دريمز,جرام,-,-,-,0.1,60,-,40,2,150,500,2.5,5,,Packaged & Mixed Foods,Candy-like Snack
Whole earth smooth organic peanut butter,100,grams,,643,54.3,7.4,27.7,   زبدة فول سوداني وول إيرث اورجانيك,جرام,-,-,-,0.1,75,-,50,2,170,580,3,6,,Fats & Oils,Healthy Fat
Pistachio Butter,100,grams,,534,41,32,19,   زبدة فستق,جرام,25,5,-,13,50,-,100,3.5,120,1000,2,7,,Fats & Oils,Healthy Fat
Tahini,100,grams,,595,54,21,17,   الطحينة,جرام,1,-,-,-,98,-,426,9,95,414,4.6,46.8,,Fats & Oils,Healthy Fat
Halvah,100,grams,,533,44,32,11,   الحلاوة طحينية,جرام,1,-,-,-,95,-,400,8,90,400,4.5,45,,Packaged & Mixed Foods,Candy-like Snack
Banana,100,grams,,89,0.33,22.84,1.09,   الموز,جرام,3,8.7,-,0.5,20,-,5,0.26,27,358,0.15,1,,Fruit,High-Carb
Annona,100,grams,,75,0.7,14.7,1.6,   فاكهة القشطة,جرام,-,12.6,-,-,-,-,17,0.3,18,287,0.16,0.6,,Fruit,High-Carb
Orange,100,grams,,47,0.12,11.75,0.94,   البرتقال,جرام,11,53.2,-,-,30,-,40,0.1,10,181,0.07,0.5,,Fruit,High-Carb
Al safi Orange Juice,100,grams,,41,0.1,8.8,0.7,   عصير برتقال الصا,جرام,10,35,-,-,25,-,35,0.1,9,160,0.06,0.4,,Packaged & Mixed Foods,High-Carb
Orange Juice,100,grams,,45,0.2,10,0.7,   عصير برتقال,جرام,10,50,-,0.1,30,-,11,0.2,11,200,0.07,0.1,,Fruit,High-Carb
Al Safi Apple Juice,100,grams,,,,,,   عصير تفاح الصا,جرام,-,2,-,0.3,1,-,5,0.1,4,100,0.03,0.1,,Packaged & Mixed Foods,High-Carb
Apple Juice,100,grams,,46,0.1,11,0.1,   عصير تفاح,جرام,-,2,-,0.3,1,-,5,0.1,4,100,0.03,0.1,,Fruit,High-Carb
Floridas Natural Orange Pineapple,100,grams,,55,0,13,0.5,   عصير برتقال و أناناس فلوريدا ناتشورال,جرام,12,60,-,0.1,30,-,11,0.2,11,200,0.07,0.1,,Packaged & Mixed Foods,High-Carb
Pomegranate Juice,100,grams,,54.5,0.3,13,0.2,   عصير رمان,جرام,-,0.1,-,15,35,-,9,0.2,11,210,0.3,0.4,,Fruit,High-Carb
Apple,100,grams,,52,0.17,13.81,0.26,   التفاح,جرام,3,4.6,-,2.2,3,-,6,0.12,5,107,0.04,0.3,,Fruit,High-Carb
Grapes,100,grams,,69,0.16,18.1,0.72,   العنب,جرام,3,3.2,-,14.6,2,-,10,0.36,7,191,0.07,0.1,,Fruit,High-Carb
Watermelon,100,grams,,30,0.15,7.55,0.61,   البطيخ,جرام,28,8.1,-,0.1,3,-,7,0.24,10,112,0.1,0.4,,Fruit,Low-Carb
Honeydew melon,100,grams,,36,0.14,9.09,0.54,   الشمام,جرام,3,18,-,2.9,19,-,6,0.21,10,228,0.19,0.1,,Fruit,Low-Carb
Cantaloupe,100,grams,,34,0.19,8.16,0.84,   الكانتلوب,جرام,169,36.7,-,2.5,21,-,9,0.21,12,267,0.18,0.4,,Fruit,Low-Carb
Prickly Pears,100,grams,,41,0.5,9.6,0.7,   التين شوكي,جرام,2,14,-,-,6,-,56,0.3,85,220,0.12,0.6,,Fruit,Low-Carb
Fig,100,grams,,74,0.3,19.2,0.8,   التين,جرام,7,2,-,4.7,6,-,35,0.37,17,232,0.15,0.2,,Fruit,High-Carb
Papaya,100,grams,,42.8,0.3,11,0.5,   الببايا,جرام,47,60.9,-,2.6,37,-,20,0.25,21,182,0.08,0.6,,Fruit,High-Carb
Peach,100,grams,,39,0.25,9.54,0.91,   الخوخ,جرام,16,6.6,-,2.6,4,-,6,0.25,9,190,0.17,0.1,,Fruit,Low-Carb
Plum,100,grams,,46,0.28,11.42,0.7,   البرقوق,جرام,17,9.5,-,6.4,5,-,6,0.17,7,157,0.1,0.1,,Fruit,High-Carb
Apricot,100,grams,,48,0.39,11.12,1.4,   المشمش,جرام,96,10,-,3.3,9,-,13,0.39,10,259,0.2,0.1,,Fruit,High-Carb
Avocado,100,grams,,160,14.66,8.53,2,   الافوكادو,جرام,7,10,-,21,81,-,12,0.55,29,485,0.64,0.4,,Fruit,Healthy Fat
Tangerine,100,grams,,53,0.31,13.34,0.81,   اليوسفى,جرام,34,26.7,-,-,16,-,37,0.15,12,166,0.07,0.1,,Fruit,High-Carb
Grapefruit,100,grams,,32,0.1,8.1,0.6,   الجريب فروت,جرام,58,31.2,-,-,13,-,22,0.08,9,135,0.07,0.1,,Fruit,Low-Carb
Cherries,100,grams,,63,0,16,1,   الكريز,جرام,3,7,-,2.1,4,-,13,0.36,11,222,0.07,0.1,,Fruit,High-Carb
Blackberries,100,grams,,43,0.5,10.2,1.4,   التوت,جرام,11,21,-,19.8,25,-,29,0.62,20,162,0.53,0.4,,Fruit,Low-Carb
Goji Berries,100,grams,,357.1,0,75,10.713,   توت الغوجي,جرام,1340,48,-,-,-,-,190,6.8,109,400,2,-,,Fruit,High-Carb
Mango,100,grams,,65,0.27,17,0.51,   المانجو,جرام,54,36.4,-,4.2,43,-,11,0.16,10,168,0.09,0.6,,Fruit,High-Carb
Dates,100,grams,,282,0.39,75.03,2.45,   بلح – تمر,جرام,7,0.4,-,2.7,19,-,39,1,43,656,0.29,3,,Fruit,High-Carb
Persimmon,100,grams,,70,0.19,18.6,0.58,   الكاكا,جرام,81,7.5,-,2.6,8,-,8,0.15,9,161,0.11,0.1,,Fruit,High-Carb
Strawberry,100,grams,,32,0.3,7.68,0.67,   الفراولة,جرام,1,58.8,-,2.2,24,-,16,0.41,13,153,0.14,0.4,,Fruit,Low-Carb
Kiwi,100,grams,,61,0.52,14.7,1.14,   الكيوى,جرام,4,92.7,-,40.3,25,-,34,0.31,17,312,0.14,0.2,,Fruit,High-Carb
Pomegranate,100,grams,,68,0.3,17.17,0.95,   الرمان,جرام,-,10.2,-,16.4,38,-,10,0.3,12,236,0.35,0.5,,Fruit,High-Carb
Pineapple,100,grams,,48,0.12,12.63,0.54,   الاناناس,جرام,3,47.8,-,0.7,18,-,13,0.29,12,109,0.12,0.1,,Fruit,High-Carb
Pumpkin Raw,100,grams,,26.1,0.1,7,1,   القرع,جرام,426,9,-,1.1,16,-,21,0.8,12,340,0.32,0.3,,Veg,High-Carb
Guava,100,grams,,68,0.95,14.32,2.55,   الجوافة,جرام,31,228.3,-,2.2,49,-,18,0.26,22,417,0.23,0.6,,Fruit,High-Carb
Pears,100,grams,,58,0.12,15.46,0.38,   الكمثرى,جرام,1,4.3,-,4.4,7,-,9,0.18,7,116,0.1,0.1,,Fruit,High-Carb
Berries,100,grams,,57,0,14,1,   التوت,جرام,10,25,-,20,25,-,25,0.5,20,180,0.5,0.5,,Fruit,Low-Carb
Fruit Salad,100,grams,,50,0,13,0.5,   سلطة فواكه مشكلة,جرام,15,30,-,5,15,-,15,0.3,10,150,0.1,0.3,,Packaged & Mixed Foods,High-Carb
Raisins,100,grams,,299,0.46,79.18,3.07,   الزبيب,جرام,-,2.3,-,3.5,5,-,50,1.9,32,749,0.22,0.6,,Fruit,High-Carb
Dried Cranberries,100,grams,,308,0.7,82,0.1,   توت بري مجفف,جرام,2,0.2,-,5.1,1,-,5,0.3,5,40,0.08,0.5,,Fruit,High-Carb
Dried Blueberries,100,grams,,320,0,76,2,   توت مجفف,جرام,2,1,-,19,6,-,6,0.5,6,77,0.16,0.1,,Fruit,High-Carb
Dried Apricot,100,grams,,241,0.5,62.6,3.4,   مشمش مجفف مشمشية,جرام,180,1,-,3.1,10,-,55,2.7,32,1162,0.2,7.2,,Fruit,High-Carb
Dried figs,100,grams,,249,0.9,64,3.3,   التين المجفف,جرام,1,1.2,-,15.6,9,-,162,2,68,680,0.5,0.6,,Fruit,High-Carb
Qamar Aldeen,100,grams,,350,0.4,84,3.4,   قمر الدين خام,جرام,180,1,-,3.1,10,-,55,2.7,32,1162,0.2,7.2,,Fruit,High-Carb
Carob,100,grams,,323,1,81,5,   خروب خام,جرام,1,-,-,-,29,-,348,2.9,54,827,0.9,5.3,,Fruit,High-Carb
Tamarind,100,grams,,239,0.6,63,2.8,   التمر الهندي خام,جرام,2,3.5,-,2.8,14,-,74,2.8,92,628,0.1,3.1,,Fruit,High-Carb
Frozen mixed vegetables,100,grams,,64,0.52,13.46,3.33,   خضروات مشكلة مجمدة,جرام,250,20,-,25,60,-,30,1.5,35,150,0.5,2,,Veg,Low-Carb
Fresh Express Farmer’s Garden,100,grams,,23.5,0,3.529,1.176,   خضروات مشكلة فارمرز جاردن,جرام,400,10,-,130,40,-,36,0.9,13,194,0.2,0.6,,Veg,Low-Carb
Cucumbers,100,grams,,15,0.11,3.63,0.65,   الخيار,جرام,5,2.8,-,16.4,7,-,16,0.28,13,147,0.2,0.3,,Veg,Low-Carb
Tomato,100,grams,,18,0.2,3.92,0.88,   الطماطم,جرام,42,13.7,-,7.9,15,-,10,0.27,11,237,0.17,-,,Veg,Low-Carb
Artichoke cooked,100,grams,,53,0.3,12,2.9,   الخرشوف مطبوخ,جرام,1,7.5,-,14.8,89,-,21,0.6,42,286,0.4,0.2,,Veg,Low-Carb
Radish,100,grams,,15.5,0.1,3.4,0.7,   الفجل,جرام,-,14.8,-,1.3,25,-,25,0.34,10,233,0.28,0.6,,Veg,Low-Carb
Parsley,100,grams,,36,0.79,6.33,2.97,   البقدونس,جرام,421,133,-,1640,152,-,138,6.2,50,554,1.07,0.1,,Veg,Low-Cal
Onions,100,grams,,40,0.1,9,1.1,   البصل,جرام,-,7.4,-,0.4,19,-,23,0.21,10,146,0.17,0.5,,Veg,Low-Cal
Leeks,100,grams,,60,0.3,14,1.5,   الكراث,جرام,83,12,-,47,64,-,59,2.1,28,180,0.12,1,,Veg,High-Carb
Beets,100,grams,,43,0.2,10,1.6,   البنجر الشمندر,جرام,2,4.9,-,0.2,109,-,16,0.8,23,325,0.35,0.7,,Veg,High-Carb
Molokhia – Tossa Jute,100,grams,,38,0.5,6.3,4.8,   الملوخية,جرام,125,2.5,-,-,80,-,200,1.5,54,584,0.71,0.9,,Veg,Low-Cal
Montana Frozen Molokhia,100,grams,,15.35,0.4,2.46,0.9,   مونتانا ملوخية مجمدة,جرام,125,2.5,-,-,80,-,200,1.5,54,584,0.71,0.9,,Veg,Low-Cal
Watercress,100,grams,,11,0.1,1.29,2.3,   الجرجير,جرام,160,43,-,250,9,-,120,0.2,21,330,0.1,0.9,,Veg,Low-Cal
Celery,100,grams,,14,0.17,2.97,0.69,   الكرفس,جرام,22,3.1,-,29.3,36,-,40,0.2,11,260,0.13,0.4,,Veg,Low-Cal
Celery Juice,100,grams,,18,0.16,4,0.83,   عصير كرفس,جرام,22,3.1,-,29.3,36,-,40,0.2,11,260,0.13,0.4,,Sauces & Condiments,Low-Cal
Taro,100,grams,,112.1,0.2,26,1.5,   القلقاس,جرام,4,4.5,-,2.6,22,-,43,0.55,23,591,0.29,0.7,,Carbs,High-Carb
Cabbage,100,grams,,24,0.12,5.58,1.44,   كرنب – ملفوف,جرام,5,36.6,-,76,43,-,40,0.47,12,170,0.18,0.3,,Veg,Low-Cal
Broccoli,100,grams,,34,0.37,6.64,2.82,   البروكلى,جرام,31,89.2,-,101.6,63,-,47,0.73,21,316,0.41,2.5,,Veg,Low-Cal
Dill,100,grams,,43,1.12,7.02,3.46,   الشبت,جرام,386,85,-,-,150,-,208,6.6,55,738,0.9,-,,Veg,Low-Cal
Rosemary,100,grams,,131,5.86,20.7,3.31,   الروز مارى,جرام,146,21.8,-,-,109,-,317,6.65,91,668,0.9,4.6,,Veg,Low-Cal
Basil,100,grams,,27,0.61,4.34,2.54,   الريحان,جرام,264,18,-,414.8,68,-,177,3.17,64,295,0.8,0.3,,Veg,Low-Cal
Lettuce,100,grams,,14,0.14,2.97,0.9,   الخس,جرام,370,9.2,-,126.3,38,-,36,0.86,13,194,0.18,0.6,,Veg,Low-Cal
Carrots,100,grams,,41,0.24,9.58,0.93,   الجزر,جرام,835,5.9,-,13.2,19,-,33,0.3,12,320,0.24,0.1,,Veg,Low-Cal
Bell Pepper,100,grams,,26,0.3,6.03,0.99,   الفلفل,جرام,157,127.7,-,4.9,26,-,7,0.43,12,211,0.25,0.1,,Veg,Low-Cal
Mushrooms,100,grams,,22,0.34,3.28,3.09,   المشروم,جرام,-,-,0.2,-,17,-,3,0.5,9,318,0.5,9.3,,Veg,Low-Cal
Zucchini,100,grams,,17,0.3,3.1,1.2,   الكوسة,جرام,10,17.9,-,4.3,24,-,16,0.37,18,261,0.3,0.2,,Veg,Low-Cal
Frozen Spinach,100,grams,,29,1,4,4,   السبانخ مجمدة,جرام,524,9.8,-,493.6,146,-,136,3.57,87,466,0.76,1,,Veg,Low-Cal
Spinach,100,grams,,23,0.4,3.6,2.9,   السبانخ,جرام,469,28.1,-,482.9,194,-,99,2.71,79,558,0.53,1,,Veg,Low-Cal
Green Peas,100,grams,,81,0.4,14,5,   البسلة,جرام,38,40,-,24.8,65,-,25,1.5,33,244,0.5,1.9,,Carbs,High-Carb
Okra,100,grams,,33,0.2,7,1.9,   البامية,جرام,36,23,-,31.3,60,-,82,0.6,57,299,0.6,0.7,,Veg,Low-Cal
Green Beans,100,grams,,31,0.1,7,1.8,   الفاصوليا خضراء,جرام,35,16.3,-,14.4,33,-,37,1.03,25,209,0.24,0.6,,Veg,Low-Cal
Eggplant,100,grams,,25,0.2,6,1,   الباذنجان,جرام,1,2.2,-,3.5,22,-,9,0.23,14,229,0.16,0.3,,Veg,Low-Cal
Cauliflower,100,grams,,25,0.1,5.3,1.98,   القرنبيط,جرام,-,48.2,-,15.5,57,-,22,0.42,15,299,0.27,0.6,,Veg,Low-Cal
Garlic,100,grams,,148,0.5,33,6,   الثوم,جرام,-,31.2,-,1.7,3,-,181,1.7,25,401,1.16,14.2,,Protein,High-Carb
Unsweetened Iced Tea,100,ml,,1,0,0.28,0.01,   شاي مثلج غير محلي,جرام ,-,-,-,-,-,-,-,0.02,3,37,0.02,0.4,,Packaged & Mixed Foods,Low-Cal
Diet Cola,100,mg,,1,0,0,0,   الكولا دايت,جرام ,-,-,-,-,-,-,-,-,-,-,-,-,,Packaged & Mixed Foods,Low-Cal
maple syrup,100,grams ,,261,0,67,0,   شراب القيقب,جرام ,-,-,-,-,-,-,102,0.2,21,205,1.5,0.6,,Sauces & Condiments,High-Carb
Hershey’s lite syrup Chocolate flavor,100,grams ,,117,0,35,0,   شراب هيرشي بالشيكولاتة لايت,جرام ,-,-,-,-,-,-,-,2,-,70,0.2,-,,Packaged & Mixed Foods,High-Carb
Subway Chicken Teriyaki 6 inch,100,grams ,,360,4.5,57,25,صب واي دجاج ترياكي 6 أنش,جرام ,180,12,-,-,80,0.5,250,3,40,450,1.5,30,,Packaged & Mixed Foods,Balanced Protein-Carb
AlAreesh chicken spring rolls,100,grams ,,138,5,14,7,   العريش سبرنج رولز الدجاج,جرام ,5,-,-,5,10,0.2,15,1,15,150,0.8,10,,Packaged & Mixed Foods,Balanced Protein-Carb
Americana Chicken Cordon Bleu,100,grams ,,240,12,19,14,   كوردون بلو أمريكانا,جرام ,10,-,0.2,8,15,0.3,80,1.2,20,250,1,15,,Packaged & Mixed Foods,Balanced Protein-Carb
Subway Oven Roasted Chicken 6 inch,100,grams ,,320,5,45,23,صب واي دجاج مشوي 6 أنش,جرام ,180,12,-,-,80,0.5,250,3,40,450,1.5,30,,Packaged & Mixed Foods,Balanced Protein-Carb
Subway Chicken Fajita 6 inch,100,grams ,,340,7,50,22,صب واي دجاج فاهيتا 6 أنش,جرام ,180,15,-,-,80,0.5,250,3,40,450,1.5,30,,Packaged & Mixed Foods,Balanced Protein-Carb
Macdonald’s Big Tasty,100,grams ,,520,26,43,27,   ماكدونالدز بيج تاستي,جرام ,150,5,0.5,20,50,1.5,250,4,50,500,4,40,,Packaged & Mixed Foods,Fatty Protein
Macdonald’s Quarter Pounder,100,grams ,,520,26,41,30,   ماكدونالدز كوارتر باوندر,جرام ,140,2,0.6,18,45,1.8,280,4.5,55,550,4.5,45,,Packaged & Mixed Foods,Fatty Protein
Hardee’s Super Star,100,grams ,,790,53,41,40,   هارديز سوبر ستار,جرام ,200,10,0.8,25,60,2,300,5,60,600,5,50,,Packaged & Mixed Foods,Fatty Protein
Hardee’s Oreo Milk Shake,100,grams ,,700,33,86,14,   هارديز أوريو ميلك شيك,جرام ,250,-,1,5,20,1,500,1,50,600,1.5,15,,Packaged & Mixed Foods,Candy-like Snack
Macdonald’s Mcflory,100,grams ,,510,17,60,12,   ماكدونالدز ماك فلوري,جرام ,200,1,0.8,4,15,0.8,450,0.5,40,550,1.2,12,,Packaged & Mixed Foods,Candy-like Snack
Halwani Bros Hamburger,100,grams ,,167.3,8.5,9.7,13,   حلواني اخوان هامبورجر,جرام ,2,-,0.1,1,3,2,6,2.5,18,250,5,28,,Protein,Fatty Protein
President Low Fat Cheddar Cheese,100,grams ,,181.9,9.1,8,17,   بريزيدن جبنة شيدر قليل الدسم,جرام ,150,-,0.3,1.5,15,1.2,800,0.5,30,120,3.5,15,,Protein,Lean Protein
Frico light gouda cheese,100,grams ,,240,12,0,33,   جبنة فريكو جودة قليلة الدسم,جرام ,150,-,-,20,15,1.5,900,0.3,40,120,4,20,,Protein,Lean Protein
President extra light 0.9% fat,100,grams ,,117,0.9,6.6,20.5,   جبنة بريزيدن إكسترا لايت,جرام ,100,-,-,1,12,1,850,0.5,30,150,3.2,15,,Protein,Lean Protein
Philadephia Cheese Spread Light,100,grams ,,128,8.8,5,6.6,   لاديا جبنة لابت,جرام ,180,-,-,2.9,13,0.2,90,0.4,10,130,0.5,3,,Protein,Lean Protein
President White Lite Cheese,100,grams ,,131,7,5,12,   بريزيدن جبنة بيضاء لايت,جرام ,120,-,-,1.5,25,0.3,420,0.3,15,110,1.1,12,,Protein,Lean Protein
Halwani Bros Minced Meat,100,grams ,,107.5,13.5,0,17,   حلواني اخوان لحم مفروم,جرام ,3,-,0.1,1.1,6,2.7,9,3.2,23,310,7,36,,Protein,Fatty Protein
The Three Cows Shredded mozarrella cheese,100,grams ,,300,0.8,25,22,   جبنة البقرات الثلاث موتزاريللا مبشورة,جرام ,180,-,-,2,7,0.8,600,0.4,20,100,2.5,15,,Protein,Balanced Protein-Carb
